Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;(case) channel;(case) department;(case) group;(case) responsible;concept:instance;concept:name;lifecycle:transition;org:group;Duration
case-3766;Confirmation of receipt-complete;Resource08;2010/10/05 13:01:58.437;Variant 14;14;Desk;Experts;;Resource08;task-35;Confirmation of receipt;complete;EMPTY;0.0
case-3766;T06 Determine necessity of stop advice-complete;Resource08;2010/10/05 13:07:35.391;Variant 14;14;Desk;Experts;;Resource08;task-67;T06 Determine necessity of stop advice;complete;Group 1;336.954
case-3766;T10 Determine necessity to stop indication-complete;Resource08;2010/10/05 13:08:22.858;Variant 14;14;Desk;Experts;;Resource08;task-68;T10 Determine necessity to stop indication;complete;Group 1;47.467
case-3766;T02 Check confirmation of receipt-complete;Resource24;2010/10/05 15:03:36.552;Variant 14;14;Desk;Experts;;Resource08;task-66;T02 Check confirmation of receipt;complete;EMPTY;6913.694
case-3766;T03 Adjust confirmation of receipt-complete;Resource08;2010/10/05 15:22:03.157;Variant 14;14;Desk;Experts;;Resource08;task-81;T03 Adjust confirmation of receipt;complete;Group 1;1106.605
case-3766;T02 Check confirmation of receipt-complete;Resource24;2010/10/05 15:26:38.519;Variant 14;14;Desk;Experts;;Resource08;task-84;T02 Check confirmation of receipt;complete;EMPTY;275.362
case-3766;T04 Determine confirmation of receipt-complete;Resource19;2010/10/06 09:12:49.541;Variant 14;14;Desk;Experts;;Resource08;task-86;T04 Determine confirmation of receipt;complete;EMPTY;63971.022
case-3766;T05 Print and send confirmation of receipt-complete;Resource08;2010/10/07 15:16:55.755;Variant 14;14;Desk;Experts;;Resource08;task-96;T05 Print and send confirmation of receipt;complete;Group 2;108246.214
case-3879;Confirmation of receipt-complete;Resource11;2010/10/27 09:27:51.856;Variant 4;4;Internet;General;;Resource01;task-189;Confirmation of receipt;complete;EMPTY;0.0
case-3879;T02 Check confirmation of receipt-complete;Resource19;2010/11/04 11:23:25.112;Variant 4;4;Internet;General;;Resource01;task-532;T02 Check confirmation of receipt;complete;EMPTY;698133.256
case-3879;T06 Determine necessity of stop advice-complete;Resource11;2010/11/04 15:03:15.752;Variant 4;4;Internet;General;;Resource01;task-533;T06 Determine necessity of stop advice;complete;Group 1;13190.64
case-3879;T10 Determine necessity to stop indication-complete;Resource11;2010/11/04 15:03:49.437;Variant 4;4;Internet;General;;Resource01;task-972;T10 Determine necessity to stop indication;complete;Group 1;33.685
case-3879;T04 Determine confirmation of receipt-complete;Resource19;2010/11/26 09:30:16.271;Variant 4;4;Internet;General;;Resource01;task-873;T04 Determine confirmation of receipt;complete;EMPTY;1880786.834
