Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;amount;article;dismissal;expense;lastSent;lifecycle:transition;matricola;notificationType;paymentAmount;points;totalPaymentAmount;vehicleClass;Duration
C10114;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;30585600.0
C10130;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;36460800.0
C10197;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;35596800.0
C10483;Insert Date Appeal to Prefecture;;2003/01/22 00:00:00.000;Variant 8;8;;;;;;complete;;;;;;;3542400.0
C10483;Add penalty;;2003/02/10 00:00:00.000;Variant 8;8;1311.0;;;;;complete;;;;;;;1641600.0
C10483;Send Appeal to Prefecture;;2003/02/14 00:00:00.000;Variant 8;8;;;#;;;complete;;;;;;;345600.0
C10543;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;44236800.0
C10544;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;43372800.0
C10590;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;42163200.0
C10592;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;32054400.0
C10593;Payment;;2003/09/24 00:00:00.000;Variant 6;6;;;;;;complete;;;5.16;;47.16;;34646400.0
C10601;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;32832000.0
C10602;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;32832000.0
C10604;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;32832000.0
C10605;Create Fine;30.0;2003/05/18 00:00:00.000;Variant 1;1;687.75;193.0;NIL;;;complete;;;;0.0;0.0;C;0.0
C10605;Send Fine;;2003/05/18 00:00:00.000;Variant 1;1;;;;0.0;;complete;;;;;;;0.0
C10605;Insert Fine Notification;;2003/05/18 00:00:00.000;Variant 1;1;;;;;N;complete;;P;;;;;0.0
C10605;Add penalty;;2003/07/17 00:00:00.000;Variant 1;1;1377.07;;;;;complete;;;;;;;5184000.0
C10606;Create Fine;26.0;2003/07/06 00:00:00.000;Variant 6;6;33.6;154.0;NIL;;;complete;;;;0.0;0.0;A;0.0
C10606;Send Fine;;2003/11/10 00:00:00.000;Variant 6;6;;;;15.16;;complete;;;;;;;10972800.0
C10606;Insert Fine Notification;;2003/11/15 00:00:00.000;Variant 6;6;;;;;N;complete;;P;;;;;432000.0
C10606;Payment;;2003/12/29 00:00:00.000;Variant 6;6;;;;;;complete;;;43.6;;43.6;;3801600.0
C11579;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;35942400.0
C12364;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;26092800.0
C12516;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;70070400.0
C12606;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;38880000.0
C12607;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50889600.0
C12608;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;45360000.0
C126697;Create Fine;57.0;2003/09/24 00:00:00.000;Variant 2;2;19.95;180.0;NIL;;;complete;;;;0.0;0.0;C;0.0
C126697;Payment;;2003/09/25 00:00:00.000;Variant 2;2;;;;;;complete;;;19.95;;19.95;;86400.0
C12734;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;49852800.0
C12815;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;46051200.0
C12822;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;49939200.0
C12840;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50025600.0
C12855;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;47779200.0
C12871;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;49852800.0
C12887;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;49852800.0
C12889;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 9;9;;;;;;complete;;;;;;;38188800.0
C12912;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;46396800.0
C12921;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;43286400.0
C12939;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;49852800.0
C12956;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;40176000.0
C12964;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;42854400.0
C12974;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;43372800.0
C12976;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;41472000.0
C12978;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;41644800.0
C12981;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;41299200.0
C12982;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 9;9;;;;;;complete;;;;;;;48643200.0
C12983;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;35510400.0
C12990;Payment;;2003/04/03 00:00:00.000;Variant 2;2;;;;;;complete;;;29.0;;29.0;;11232000.0
C13018;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;41299200.0
C13038;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50803200.0
C13039;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50544000.0
C13040;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50544000.0
C13060;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;41558400.0
C13068;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 9;9;;;;;;complete;;;;;;;47779200.0
C13075;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;47433600.0
C13076;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;47433600.0
C13082;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;37152000.0
C13098;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;40521600.0
C13101;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50457600.0
C13107;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50803200.0
C13110;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;48124800.0
C13111;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;48124800.0
C13114;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;35424000.0
C13115;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;43286400.0
C13116;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;31363200.0
C13125;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;31795200.0
C13128;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;41472000.0
C13129;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;44755200.0
C13130;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;41472000.0
C13132;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;45014400.0
C13133;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;46137600.0
C13134;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;43632000.0
C13136;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;28512000.0
C13152;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;38966400.0
C13157;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;48297600.0
C13162;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;50112000.0
C13169;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;31881600.0
C13184;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;46051200.0
C13193;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;42768000.0
C13198;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;47692800.0
C13199;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;47606400.0
C13200;Send for Credit Collection;;2003/01/10 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;47606400.0
