Case ID;Activity;Resource;Complete Timestamp;Variant;Variant index;amount;article;dismissal;expense;lastSent;lifecycle:transition;matricola;notificationType;paymentAmount;points;totalPaymentAmount;vehicleClass;Duration
A29441;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;97286400.0
A40110;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;112320000.0
A41176;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;103248000.0
A41254;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;112752000.0
A41320;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;112320000.0
A41603;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;101606400.0
A43309;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;107136000.0
A43566;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;106444800.0
A43977;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;99619200.0
A44251;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;93484800.0
A44277;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;100915200.0
A44369;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;101174400.0
A44453;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;100569600.0
A44776;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;101088000.0
A44929;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;99878400.0
A45331;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;99964800.0
A45406;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;92620800.0
A45417;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;99619200.0
A45777;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;99619200.0
A45906;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;99532800.0
C17291;Send for Credit Collection;;2013/04/24 00:00:00.000;Variant 1;1;;;;;;complete;;;;;;;85363200.0
