Activity;Case ID;Duration;Event_Nr
Send for Credit Collection;A29441;97286400.0;1
Send for Credit Collection;A40110;112320000.0;1
Send for Credit Collection;A41176;103248000.0;1
Send for Credit Collection;A41254;112752000.0;1
Send for Credit Collection;A41320;112320000.0;1
Send for Credit Collection;A41603;101606400.0;1
Send for Credit Collection;A43309;107136000.0;1
Send for Credit Collection;A43566;106444800.0;1
Send for Credit Collection;A43977;99619200.0;1
Send for Credit Collection;A44251;93484800.0;1
Send for Credit Collection;A44277;100915200.0;1
Send for Credit Collection;A44369;101174400.0;1
Send for Credit Collection;A44453;100569600.0;1
Send for Credit Collection;A44776;101088000.0;1
Send for Credit Collection;A44929;99878400.0;1
Send for Credit Collection;A45331;99964800.0;1
Send for Credit Collection;A45406;92620800.0;1
Send for Credit Collection;A45417;99619200.0;1
Send for Credit Collection;A45777;99619200.0;1
Send for Credit Collection;A45906;99532800.0;1
Send for Credit Collection;C17291;85363200.0;1
Send for Credit Collection;C19060;59011200.0;1
Send for Credit Collection;C19968;125712000.0;1
Send for Credit Collection;C20042;53827200.0;1
Send for Credit Collection;C20381;102297600.0;1
Send for Credit Collection;C20462;127440000.0;1
Send for Credit Collection;C20588;106617600.0;1
Send for Credit Collection;C20665;104198400.0;1
Send for Credit Collection;C20720;101260800.0;1
Send for Credit Collection;C20725;106444800.0;1
Send for Credit Collection;C20728;100051200.0;1
Send for Credit Collection;C20931;46483200.0;1
Send for Credit Collection;C20936;110937600.0;1
Send for Credit Collection;C21091;108864000.0;1
Send for Credit Collection;C21114;57283200.0;1
Send for Credit Collection;C21136;108864000.0;1
Send for Credit Collection;C21149;53827200.0;1
Send for Credit Collection;C21157;105408000.0;1
Send for Credit Collection;C21173;52963200.0;1
Send for Credit Collection;C21175;44409600.0;1
Send for Credit Collection;C21366;100396800.0;1
Send for Credit Collection;C21375;93916800.0;1
Send for Credit Collection;C21524;89251200.0;1
Send for Credit Collection;C21536;88041600.0;1
Send for Credit Collection;C21545;86227200.0;1
Send for Credit Collection;C21546;86227200.0;1
Send for Credit Collection;C21549;79747200.0;1
Send for Credit Collection;C21568;86918400.0;1
Send for Credit Collection;C21569;86918400.0;1
Send for Credit Collection;C21570;86918400.0;1
Send for Credit Collection;C21571;86918400.0;1
Send for Credit Collection;C21601;82944000.0;1
Send for Credit Collection;C21603;76550400.0;1
Send for Credit Collection;C21618;85017600.0;1
Send for Credit Collection;C21623;55728000.0;1
Send for Credit Collection;C21625;45446400.0;1
Send for Credit Collection;C21627;43718400.0;1
Send for Credit Collection;C21632;83203200.0;1
Send for Credit Collection;C21729;48816000.0;1
Send for Credit Collection;C21735;79488000.0;1
Send for Credit Collection;C21740;63590400.0;1
Send for Credit Collection;C21751;76636800.0;1
Send for Credit Collection;C21752;74563200.0;1
Send for Credit Collection;C21775;55641600.0;1
Send for Credit Collection;C21776;55641600.0;1
Send for Credit Collection;C21795;57456000.0;1
Send for Credit Collection;C21814;74649600.0;1
Send for Credit Collection;C21837;53827200.0;1
Send for Credit Collection;C21838;52358400.0;1
Send for Credit Collection;C21849;59443200.0;1
Send for Credit Collection;C21850;54604800.0;1
Send for Credit Collection;C21853;41126400.0;1
Send for Credit Collection;C21854;43113600.0;1
Send for Credit Collection;C21855;62640000.0;1
Send for Credit Collection;C21924;59616000.0;1
Send for Credit Collection;C21925;46396800.0;1
Send for Credit Collection;C21974;72057600.0;1
Send for Credit Collection;C21987;54345600.0;1
Send for Credit Collection;C21988;65750400.0;1
Send for Credit Collection;C21993;46137600.0;1
Send for Credit Collection;C22001;32486400.0;1
Send for Credit Collection;C22002;32486400.0;1
Send for Credit Collection;C22005;30240000.0;1
Send for Credit Collection;C22011;72662400.0;1
Send for Credit Collection;C22013;72662400.0;1
Send for Credit Collection;C22015;71712000.0;1
Send for Credit Collection;C22017;58838400.0;1
Send for Credit Collection;C22018;29980800.0;1
Send for Credit Collection;C22025;71712000.0;1
Send for Credit Collection;C22034;55468800.0;1
Send for Credit Collection;C22039;57801600.0;1
Send for Credit Collection;C22040;57801600.0;1
Send for Credit Collection;C22043;57715200.0;1
Send for Credit Collection;C22050;53827200.0;1
Send for Credit Collection;C22054;51148800.0;1
Send for Credit Collection;C22059;38534400.0;1
Send for Credit Collection;C22073;67478400.0;1
Send for Credit Collection;C22079;61516800.0;1
Send for Credit Collection;C22082;37497600.0;1
Send for Credit Collection;C22085;63331200.0;1
Send for Credit Collection;C22088;56592000.0;1
Send for Credit Collection;C22089;56592000.0;1
Send for Credit Collection;C22091;40003200.0;1
Send for Credit Collection;C22100;48038400.0;1
Send for Credit Collection;C22116;58492800.0;1
Send for Credit Collection;C22122;63763200.0;1
Send for Credit Collection;C22129;48124800.0;1
Send for Credit Collection;C22130;48038400.0;1
Send for Credit Collection;C22134;48038400.0;1
Send for Credit Collection;C22135;48038400.0;1
Send for Credit Collection;C22150;52704000.0;1
Send for Credit Collection;C22151;51580800.0;1
Send for Credit Collection;C22152;59788800.0;1
Send for Credit Collection;C22156;58492800.0;1
Send for Credit Collection;C22161;38880000.0;1
Send for Credit Collection;C22166;56332800.0;1
Send for Credit Collection;C22167;56246400.0;1
Send for Credit Collection;C22170;54864000.0;1
Send for Credit Collection;C22209;40694400.0;1
Send for Credit Collection;C22210;37929600.0;1
Send for Credit Collection;C22236;54259200.0;1
Send for Credit Collection;C22237;54000000.0;1
Send for Credit Collection;C22238;54000000.0;1
Send for Credit Collection;C22242;51667200.0;1
Send for Credit Collection;C22243;51580800.0;1
Send for Credit Collection;C22246;50716800.0;1
Send for Credit Collection;C22250;58838400.0;1
Send for Credit Collection;C22253;56505600.0;1
Send for Credit Collection;C22260;54777600.0;1
Send for Credit Collection;C22261;45446400.0;1
Send for Credit Collection;C22267;45705600.0;1
Send for Credit Collection;C22274;50112000.0;1
Send for Credit Collection;C22275;49248000.0;1
Send for Credit Collection;C22277;50371200.0;1
Send for Credit Collection;C22283;50630400.0;1
Send for Credit Collection;C22285;50630400.0;1
Send for Credit Collection;C22288;57715200.0;1
Send for Credit Collection;C22292;57283200.0;1
Send for Credit Collection;C22298;57024000.0;1
Send for Credit Collection;C22301;56419200.0;1
Send for Credit Collection;C22304;42163200.0;1
Send for Credit Collection;C22307;56246400.0;1
Send for Credit Collection;C22313;55123200.0;1
Send for Credit Collection;C22315;37670400.0;1
Send for Credit Collection;C22319;44236800.0;1
Send for Credit Collection;C22323;44236800.0;1
Send for Credit Collection;C22330;52876800.0;1
Send for Credit Collection;C22337;54432000.0;1
Send for Credit Collection;C22340;46310400.0;1
Send for Credit Collection;C22344;49680000.0;1
Send for Credit Collection;C22345;56332800.0;1
Send for Credit Collection;C22347;42163200.0;1
Send for Credit Collection;C22352;45360000.0;1
Send for Credit Collection;C22353;45532800.0;1
Send for Credit Collection;C22354;45532800.0;1
Send for Credit Collection;C22355;54691200.0;1
Send for Credit Collection;C22360;41904000.0;1
Send for Credit Collection;C22361;45360000.0;1
Send for Credit Collection;C22363;39744000.0;1
Send for Credit Collection;C22364;55382400.0;1
Send for Credit Collection;C22365;46396800.0;1
Send for Credit Collection;C22366;55382400.0;1
Send for Credit Collection;C22368;55382400.0;1
Send for Credit Collection;C22370;55382400.0;1
Send for Credit Collection;C22375;54777600.0;1
Send for Credit Collection;C22384;32054400.0;1
Send for Credit Collection;C22395;52876800.0;1
Send for Credit Collection;C22396;45014400.0;1
Send for Credit Collection;C22404;54518400.0;1
Send for Credit Collection;C22406;51408000.0;1
Send for Credit Collection;C22412;54691200.0;1
Send for Credit Collection;C22413;54691200.0;1
Send for Credit Collection;C22418;46396800.0;1
Send for Credit Collection;C22421;52876800.0;1
Send for Credit Collection;C22422;52963200.0;1
Send for Credit Collection;C22426;48297600.0;1
Send for Credit Collection;C22428;45705600.0;1
Send for Credit Collection;C22432;32918400.0;1
Send for Credit Collection;C22433;41040000.0;1
Send for Credit Collection;C22434;41040000.0;1
Send Fine;C22441;7603200.0;1
Send for Credit Collection;C22449;40003200.0;1
Send for Credit Collection;C22463;50025600.0;1
Send for Credit Collection;C22471;33436800.0;1
Send for Credit Collection;C22472;33436800.0;1
Send for Credit Collection;C22479;50803200.0;1
Send for Credit Collection;C22480;52272000.0;1
Send for Credit Collection;C22484;51840000.0;1
Send for Credit Collection;C22485;45100800.0;1
Send for Credit Collection;C22486;53481600.0;1
Send for Credit Collection;C22495;53568000.0;1
Send for Credit Collection;C22497;53049600.0;1
Send for Credit Collection;C22502;50284800.0;1
Send for Credit Collection;C22503;50284800.0;1
Send for Credit Collection;C22505;50112000.0;1
Send for Credit Collection;C22508;48643200.0;1
Send for Credit Collection;C22509;39830400.0;1
Send for Credit Collection;C22510;48384000.0;1
Send for Credit Collection;C22514;46656000.0;1
Payment;C22520;10195200.0;1
Send for Credit Collection;C22531;51753600.0;1
Send for Credit Collection;C22532;50284800.0;1
Payment;C22551;8812800.0;1
Send for Credit Collection;C22562;50457600.0;1
Send for Credit Collection;C22566;45446400.0;1
Send for Credit Collection;C22567;45360000.0;1
Send for Credit Collection;C22569;44236800.0;1
Send for Credit Collection;C22576;33091200.0;1
Send for Credit Collection;C22578;40003200.0;1
Send for Credit Collection;C22583;49680000.0;1
Send for Credit Collection;C22584;49680000.0;1
Send for Credit Collection;C22588;48729600.0;1
Send for Credit Collection;C22597;45878400.0;1
Send for Credit Collection;C22602;44236800.0;1
Send for Credit Collection;C22605;43459200.0;1
Send for Credit Collection;C22607;41990400.0;1
Send for Credit Collection;C22612;47779200.0;1
Send for Credit Collection;C22642;47779200.0;1
Send for Credit Collection;C22645;47001600.0;1
Send for Credit Collection;C22650;43027200.0;1
Send for Credit Collection;C22651;43027200.0;1
Send for Credit Collection;C22656;47779200.0;1
Send for Credit Collection;C22690;43286400.0;1
Send for Credit Collection;C22692;43459200.0;1
Insert Date Appeal to Prefecture;C22701;3974400.0;1
Add penalty;C22701;1209600.0;2
Send Appeal to Prefecture;C22701;2419200.0;3
Insert Date Appeal to Prefecture;C22702;3974400.0;1
Add penalty;C22702;1209600.0;2
Send Appeal to Prefecture;C22702;2419200.0;3
Insert Date Appeal to Prefecture;C22704;3974400.0;1
Add penalty;C22704;1209600.0;2
Send Appeal to Prefecture;C22704;2419200.0;3
Send for Credit Collection;C22708;47001600.0;1
Send for Credit Collection;C22709;34819200.0;1
